cycle,name,latent_period
44,Residents102,7
57,Residents106,8
98,Residents103,4
144,Staff111,6
169,Residents10,9
252,Residents6,3
264,Residents126,3
274,Residents148,8
280,Residents9,6
299,Staff135,4
302,Residents11,2
308,Staff126,9
347,Residents140,2
379,Residents90,6
394,Residents2,3
397,Residents78,2
424,Residents80,5
437,Staff33,3
449,Residents136,2
521,Residents135,2
524,Residents92,2
551,Residents82,2
552,Residents79,2
706,Residents67,3
1057,Residents125,8
1128,Staff44,5
1165,Residents93,7
