seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
340.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,32,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,56,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,80,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,104,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,128,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,152,0,1,1,173,1,0,0,1,0,0,0,1,0,58,170,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,176,0,1,1,173,1,0,0,1,0,0,0,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,200,0,1,1,173,1,0,0,0,0,0,0,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,224,0,0,0,173,0,0,0,0,0,0,0,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,248,0,1,1,173,0,1,1,0,0,0,1,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,272,0,2,2,173,1,1,1,0,0,1,1,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,296,292,2,3,172,1,1,1,0,1,2,1,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,320,292,2,3,172,1,1,1,0,1,2,1,1,0,116,340,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,344,334,1,3,171,1,0,0,0,2,3,1,1,0,178,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,368,334,1,3,171,1,0,0,0,2,3,1,1,0,195,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,392,334,1,3,171,1,0,0,0,2,3,1,1,0,208,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,416,413,2,4,170,2,0,0,0,3,4,1,1,0,223,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,440,413,2,4,170,2,0,0,0,3,4,1,1,0,239,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,464,413,1,3,170,1,0,0,0,3,4,1,1,0,241,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,488,484,3,4,169,3,0,0,0,4,5,1,1,0,244,509,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,512,484,3,4,169,3,0,0,0,4,5,1,1,0,320,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,536,484,4,4,169,4,0,0,0,4,5,1,1,0,340,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,560,484,3,3,169,3,0,0,0,4,5,1,1,0,364,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,584,484,2,2,169,2,0,0,0,4,5,1,1,0,385,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,608,484,2,2,169,2,0,0,0,4,5,1,1,0,405,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,632,484,1,1,169,1,0,0,1,4,5,1,2,0,426,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,656,484,1,1,169,1,0,0,1,4,5,1,2,0,440,678,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,680,484,1,1,169,1,0,0,1,4,5,1,2,0,510,847,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,704,484,0,0,169,0,0,0,1,4,5,1,2,0,518,847,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,728,484,0,0,169,0,0,0,1,4,5,1,2,0,518,847,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,752,484,0,0,169,0,0,0,1,4,5,1,2,0,518,847,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
340.0,776,484,0,0,169,0,0,0,1,4,5,1,2,0,518,847,0.45599999999999996,0.01,7,0.75,0.0722,0.0493,0.7,Equal
