cycle,name,latent_period
99,Residents48,2
241,Staff4,6
377,Residents156,6
383,Residents161,8
524,Residents158,5
549,Residents171,3
619,Residents159,3
629,Residents160,4
685,Residents172,7
724,Staff38,2
827,Residents83,7
828,Residents129,2
853,Residents82,3
872,Staff81,2
881,Residents130,3
907,Residents131,9
916,Staff120,2
938,Staff106,9
963,Staff137,2
965,Staff10,2
967,Residents81,8
1009,Residents91,5
1009,Staff152,6
1027,Residents155,6
1048,Staff148,2
1050,Staff115,3
1095,Staff6,4
1106,Residents95,7
1172,Residents68,2
1174,Residents147,2
1185,Residents164,6
1190,Residents169,2
1202,Staff169,5
1240,Residents119,9
1242,Residents94,2
1263,Staff53,2
1263,Staff112,3
1265,Residents16,4
1272,Residents148,9
1303,Residents118,7
1341,Staff163,6
1404,Residents17,2
1451,Staff100,4
1479,Residents117,6
