cycle,name,latent_period
57,Residents117,2
132,Residents138,8
139,Staff67,4
141,Residents79,2
141,Staff26,4
151,Residents90,7
194,Residents80,4
211,Residents142,2
223,Residents59,5
227,Residents152,9
236,Residents141,6
258,Residents68,7
261,Staff98,3
263,Residents78,6
263,Residents143,2
269,Staff69,6
286,Residents38,8
287,Staff15,2
293,Residents139,2
319,Residents101,2
332,Staff119,7
333,Residents74,6
336,Residents72,3
343,Residents99,5
364,Residents66,8
395,Residents36,3
414,Residents132,6
485,Residents133,9
811,Staff44,6
857,Staff127,5
