cycle,name,latent_period
151,Residents163,4
165,Residents170,3
168,Residents155,6
188,Residents149,5
258,Staff35,2
327,Residents144,8
347,Residents49,4
356,Residents73,5
356,Staff39,2
361,Residents3,5
366,Residents147,3
368,Residents162,5
372,Residents101,2
377,Residents171,7
379,Residents131,3
379,Residents30,9
382,Residents133,9
438,Residents21,9
454,Residents143,6
465,Residents172,2
466,Residents126,3
472,Staff58,4
474,Staff122,3
474,Staff16,3
499,Staff55,8
500,Residents153,5
503,Residents129,8
513,Residents27,5
516,Residents128,2
517,Residents132,4
526,Residents142,3
557,Residents12,2
588,Residents127,2
599,Residents173,4
630,Residents13,3
651,Staff97,5
662,Residents167,4
670,Residents103,8
674,Residents62,7
735,Residents156,4
761,Staff9,2
763,Residents166,8
763,Staff149,8
766,Residents157,5
784,Residents54,2
785,Residents104,5
809,Residents165,8
832,Staff101,8
832,Staff104,4
840,Residents159,3
876,Residents61,4
883,Residents56,5
894,Residents106,4
931,Residents161,9
975,Residents145,2
976,Residents158,8
1069,Residents107,2
1141,Residents102,2
1224,Residents160,2
1325,Residents78,4
1484,Residents76,4
1992,Staff44,9
2499,Residents93,2
2517,Residents68,5
2646,Residents95,5
2725,Residents71,3
2809,Residents70,7
2841,Residents69,9
3135,Staff17,5
3279,Residents114,2
3375,Residents152,6
3408,Residents154,7
