cycle,name,latent_period
285,Residents108,8
337,Residents109,5
348,Residents120,7
378,Residents121,3
392,Residents122,4
489,Residents110,6
552,Residents37,3
643,Residents21,3
671,Residents38,2
676,Residents144,9
703,Residents173,8
713,Residents46,3
742,Residents71,2
748,Residents19,4
772,Residents171,2
775,Residents70,7
811,Residents69,9
830,Residents159,5
839,Residents67,2
843,Residents45,4
846,Residents49,2
850,Residents60,9
861,Residents170,3
868,Residents22,3
880,Residents163,5
881,Residents134,3
885,Residents154,4
929,Residents93,6
930,Residents50,5
938,Residents127,2
946,Residents168,3
953,Residents160,3
968,Residents94,7
968,Staff112,6
970,Residents15,8
984,Residents117,5
990,Residents119,7
992,Residents158,5
1000,Staff137,6
1009,Residents126,2
1012,Residents164,4
1016,Residents129,2
1027,Residents128,6
1069,Residents59,3
1075,Residents162,3
1092,Residents118,3
1105,Residents62,6
1113,Residents150,8
1114,Residents13,8
1187,Residents64,7
1187,Residents65,6
1204,Staff40,5
1223,Staff32,7
1226,Staff128,5
1226,Staff110,3
1227,Residents14,2
1271,Residents57,4
1297,Staff164,6
1320,Residents61,4
1322,Residents81,5
1322,Staff49,6
1324,Residents83,3
1388,Residents152,9
1471,Residents97,7
1513,Residents106,5
1634,Staff141,5
1642,Residents105,8
1651,Staff109,2
1653,Residents123,4
1673,Staff126,8
1703,Staff1,5
1744,Staff3,4
1791,Residents86,2
1792,Staff123,4
1894,Residents169,8
1898,Residents88,8
