cycle,name,Type,ResTurn
7,Staff2,CN,0
7,Staff4,RN,0
7,Staff6,RN,0
7,Staff9,CN,0
7,Staff12,CN,0
7,Staff14,CN,0
7,Staff25,RN,0
7,Staff30,CN,0
7,Staff32,CN,0
7,Staff45,LPN,0
7,Staff50,CN,0
7,Staff53,CN,0
7,Staff54,CN,0
7,Staff56,CN,0
7,Staff59,CN,0
7,Staff63,CN,0
7,Staff68,RN,0
7,Staff75,CN,0
7,Staff77,RN,0
7,Staff80,RN,0
7,Staff82,CN,0
7,Staff83,CN,0
7,Staff89,CN,0
7,Staff93,CN,0
7,Staff94,CN,0
7,Staff95,CN,0
7,Staff102,LPN,0
7,Staff104,RN,0
7,Staff122,RN,0
7,Staff125,CN,0
7,Staff126,CN,0
7,Staff130,LPN,0
7,Staff132,CN,0
7,Staff149,CN,0
7,Staff150,RN,0
7,Staff151,CN,0
7,Staff157,CN,0
7,Staff168,CN,0
7,Staff169,CN,0
15,Staff7,CN,0
15,Staff8,RN,0
15,Staff11,CN,0
15,Staff15,LPN,0
15,Staff17,LPN,0
15,Staff18,CN,0
15,Staff19,LPN,0
15,Staff20,CN,0
15,Staff23,RN,0
15,Staff26,CN,0
15,Staff31,CN,0
15,Staff34,LPN,0
15,Staff37,CN,0
15,Staff38,CN,0
15,Staff39,LPN,0
15,Staff40,CN,0
15,Staff41,RN,0
15,Staff42,CN,0
15,Staff43,CN,0
15,Staff44,CN,0
15,Staff47,CN,0
15,Staff49,CN,0
15,Staff51,RN,0
15,Staff55,CN,0
15,Staff57,LPN,0
15,Staff58,LPN,0
15,Staff60,CN,0
15,Staff61,LPN,0
15,Staff64,RN,0
15,Staff67,CN,0
15,Staff71,RN,0
15,Staff72,LPN,0
15,Staff74,CN,0
15,Staff76,CN,0
15,Staff78,CN,0
15,Staff79,CN,0
15,Staff87,CN,0
15,Staff88,CN,0
15,Staff90,CN,0
15,Staff91,CN,0
15,Staff92,CN,0
15,Staff96,CN,0
15,Staff97,CN,0
15,Staff98,LPN,0
15,Staff99,LPN,0
15,Staff100,CN,0
15,Staff101,CN,0
15,Staff103,CN,0
15,Staff106,LPN,0
15,Staff107,CN,0
15,Staff108,LPN,0
15,Staff109,RN,0
15,Staff111,LPN,0
15,Staff113,RN,0
15,Staff114,RN,0
15,Staff115,CN,0
15,Staff116,CN,0
15,Staff117,RN,0
15,Staff119,RN,0
15,Staff121,RN,0
15,Staff128,LPN,0
15,Staff129,CN,0
15,Staff131,CN,0
15,Staff133,CN,0
15,Staff137,RN,0
15,Staff139,CN,0
15,Staff140,LPN,0
15,Staff141,RN,0
15,Staff142,LPN,0
15,Staff143,CN,0
15,Staff148,CN,0
15,Staff153,CN,0
15,Staff158,LPN,0
15,Staff159,CN,0
15,Staff160,LPN,0
15,Staff164,CN,0
15,Staff167,CN,0
23,Staff0,LPN,15
23,Staff1,RN,4
23,Staff3,CN,2
23,Staff5,CN,0
23,Staff10,CN,2
23,Staff13,CN,2
23,Staff16,CN,2
23,Staff21,CN,1
23,Staff22,CN,2
23,Staff24,CN,2
23,Staff27,CN,1
23,Staff28,LPN,20
23,Staff29,CN,3
23,Staff33,CN,2
23,Staff35,LPN,20
23,Staff36,LPN,22
23,Staff46,RN,5
23,Staff48,CN,2
23,Staff52,CN,2
23,Staff62,CN,1
23,Staff65,CN,1
23,Staff66,CN,1
23,Staff69,LPN,21
23,Staff70,CN,2
23,Staff73,LPN,18
23,Staff81,RN,4
23,Staff84,LPN,16
23,Staff85,CN,2
23,Staff86,LPN,21
23,Staff105,LPN,16
23,Staff110,RN,4
23,Staff112,CN,2
23,Staff118,CN,4
23,Staff120,LPN,18
23,Staff123,CN,1
23,Staff124,CN,2
23,Staff127,CN,1
23,Staff134,RN,6
23,Staff135,CN,2
23,Staff136,RN,6
23,Staff138,RN,5
23,Staff144,CN,2
23,Staff145,CN,3
23,Staff146,CN,2
23,Staff147,RN,6
23,Staff152,CN,3
23,Staff154,CN,1
23,Staff155,LPN,20
23,Staff156,RN,6
23,Staff161,CN,1
23,Staff162,CN,2
23,Staff163,CN,1
23,Staff165,CN,3
23,Staff166,CN,2
31,Staff2,CN,2
31,Staff4,RN,4
31,Staff6,RN,4
31,Staff9,CN,3
31,Staff12,CN,3
31,Staff14,CN,1
31,Staff25,RN,5
31,Staff30,CN,1
31,Staff32,CN,2
31,Staff45,LPN,20
31,Staff50,CN,1
31,Staff53,CN,3
31,Staff54,CN,3
31,Staff56,CN,2
31,Staff59,CN,0
31,Staff63,CN,2
31,Staff68,RN,4
31,Staff75,CN,4
31,Staff77,RN,6
31,Staff80,RN,7
31,Staff82,CN,3
31,Staff83,CN,4
31,Staff89,CN,2
31,Staff93,CN,0
31,Staff94,CN,1
31,Staff95,CN,4
31,Staff102,LPN,19
31,Staff104,RN,4
31,Staff122,RN,6
31,Staff125,CN,3
31,Staff126,CN,3
31,Staff130,LPN,14
31,Staff132,CN,1
31,Staff149,CN,1
31,Staff150,RN,5
31,Staff151,CN,3
31,Staff157,CN,2
31,Staff168,CN,2
31,Staff169,CN,2
39,Staff7,CN,1
39,Staff8,RN,5
39,Staff11,CN,1
39,Staff15,LPN,22
39,Staff17,LPN,18
39,Staff18,CN,1
39,Staff19,LPN,23
39,Staff20,CN,3
39,Staff23,RN,6
39,Staff26,CN,2
39,Staff31,CN,1
39,Staff34,LPN,28
39,Staff37,CN,0
39,Staff38,CN,3
39,Staff39,LPN,18
39,Staff40,CN,2
39,Staff41,RN,2
39,Staff42,CN,1
39,Staff43,CN,3
39,Staff44,CN,2
39,Staff47,CN,2
39,Staff49,CN,3
39,Staff51,RN,4
39,Staff55,CN,1
39,Staff57,LPN,22
39,Staff58,LPN,18
39,Staff60,CN,4
39,Staff61,LPN,16
39,Staff64,RN,6
39,Staff67,CN,1
39,Staff71,RN,5
39,Staff72,LPN,15
39,Staff74,CN,1
39,Staff76,CN,4
39,Staff78,CN,1
39,Staff79,CN,4
39,Staff87,CN,3
39,Staff88,CN,3
39,Staff90,CN,3
39,Staff91,CN,2
39,Staff92,CN,3
39,Staff96,CN,1
39,Staff97,CN,2
39,Staff98,LPN,21
39,Staff99,LPN,18
39,Staff100,CN,4
39,Staff101,CN,3
39,Staff103,CN,1
39,Staff106,LPN,19
39,Staff107,CN,3
39,Staff108,LPN,20
39,Staff109,RN,7
39,Staff111,LPN,21
39,Staff113,RN,3
39,Staff114,RN,4
39,Staff115,CN,2
39,Staff116,CN,1
