"Scenario","day","InfectionRate","Cumulative_I","Cumulative_I_r","Cumulative_I_s","Cumulative_H","Cumulative_D"
"Baseline","28 (7,70)","0.17 (0.01,0.39)","59 (2,133.55)","32 (0,81.55)","23 (1,53)","5 (0,15)","0 (0,2)"
"Low transmission","20.5 (7,63)","0.03 (0,0.27)","12 (1,93.1)","5 (0,58)","8 (1,38.1)","1 (0,11.05)","0 (0,1)"
"High transmission","28 (7,63.2)","0.27 (0.01,0.47)","92.5 (2,163)","55.5 (0,100.05)","36.5 (1,65.05)","9 (0,18)","0 (0,2)"
"Low Introduction Probability","14 (7,49)","0.02 (0,0.32)","7 (0,110.1)","3 (0,72.05)","4.5 (0,42.05)","1 (0,14)","0 (0,2)"
"High Introduction Probability","28 (9,77)","0.21 (0.01,0.42)","71.5 (3,143)","38.5 (0,84)","29.5 (2,58.2)","6 (0,15.05)","0 (0,2.05)"
"Low Detection Probability","22 (9,66.25)","0.02 (0,0.43)","6.5 (1,146.65)","2 (0,89.6)","4 (1,58)","1 (0,18)","0 (0,2)"
"High Detection Probability","21 (7,70)","0.09 (0,0.31)","32 (1,107.5)","17 (0,67.3)","16 (1,44)","3 (0,12.05)","0 (0,2)"
"High effect PPE","15 (7,56.35)","0.02 (0,0.2)","7 (1,69)","1.5 (0,40.05)","5 (0.95,31.05)","1 (0,7)","0 (0,1)"
"Low effect PPE","21 (14,42)","0.66 (0.39,0.85)","227.5 (134,294.05)","140 (78.95,182.1)","88 (48.95,114)","19 (5.95,30.05)","1 (0,4)"
"Every 5 days","15 (5,49.05)","0.03 (0,0.22)","10 (1,74.1)","3 (0,44)","6.5 (1,30.05)","1 (0,9)","0 (0,1.05)"
"Every 3 days","12 (3,36)","0.01 (0,0.15)","5 (1,51.1)","1 (0,34.05)","4 (1,21.1)","1 (0,5)","0 (0,1)"
"Same vaccine effect","14 (7,35)","0.01 (0,0.05)","4 (0.95,17.1)","0 (0,9.05)","3 (0,11.05)","0 (0,2)","0 (0,0)"
"Pfizer","13 (7,38.15)","0.01 (0,0.06)","4 (1,20.05)","0 (0,9.05)","3 (0,11)","0 (0,2)","0 (0,0)"
"Moderna","14 (7,41.05)","0.01 (0,0.07)","5 (1,24.2)","1 (0,14)","3 (1,14)","0 (0,3)","0 (0,0)"
